,Timestamp,Open,High,Low,Close,Volume,Date,Daily_Change,Daily_Change_Open_to_Close,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,HurstExponent,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,DataAge,Weight
18,2024-04-14 00:18:00,63725.9,63826.37,63705.65,63735.26,63.37888,2024-04-14 00:18:00,0.014703600059573496,1.569220924499802e-05,5.606095819914973,10.54605107519615,10.54605107519615,21.40498818084575,63760.88958446296,True,False,Sell,63848.726,64066.164000000004,33.22049182145432,0.5739188742452438,0,0,0.0,-151.29999999999563,False,False,-4146.953877859778,822601.0171615053,-7113.000000000466,150899.99999989232,-2315.0500000003376,-174560.00000005588,16,0.44932896411722156
24,2024-04-14 00:24:00,63537.84,63595.92,63316.12,63403.69,74.77852,2024-04-14 00:24:00,-0.21114973201012965,-1.5738650272297957e-05,9.720495515495955,17.742638980165754,17.742638980165754,14.01432097943644,63445.54932999591,False,False,Hold,63453.314,63894.19600000001,27.147734071632186,0.5113136862939922,0,0,35.48999999999796,55.31999999999971,False,False,-6772.981867968338,-1074862.9125508158,-5307.200000000012,-135899.99999996508,-3927.999999999156,-31329.99999994354,16,0.44932896411722156
35,2024-04-14 00:35:00,63719.65,63761.2,63524.51,63574.38,55.21686,2024-04-14 00:35:00,-0.22799870558004587,-1.5693743504025708e-05,69.33901746658697,76.29063161900154,76.29063161900154,80.09969674482953,63621.65285653744,False,True,Buy,63671.130000000005,63555.68199999999,55.53225158836994,0.4525908494832041,0,0,84.12000000000262,0.0,False,False,-7648.908862288226,-1113060.3272527514,-1711.9999999995343,-496539.99999994994,-2279.600000000937,-150305.0000001531,16,0.44932896411722156
37,2024-04-14 00:37:00,63671.64,63828.97,63623.14,63828.97,99.3081,2024-04-14 00:37:00,0.24708013692122943,-1.5705576975054468e-05,95.05803675155843,81.18747200867442,81.18747200867442,78.32823175639054,63761.584622185816,False,False,Hold,63686.04,63550.558000000005,56.6959849850955,0.5009932972043447,0,0,36.11000000000058,-48.01000000000204,False,False,10903.183164810616,781318.9764783601,1824.2000000005646,215740.00000015076,515.4000000009546,154320.00000007974,16,0.44932896411722156
40,2024-04-14 00:40:00,63956.99,63956.99,63818.19,63849.69,47.41224,2024-04-14 00:40:00,-0.1677689960080886,0.0,86.00694786636491,94.12549723863559,94.12549723863559,93.88977149491161,63869.957762356404,False,True,Buy,63831.06,63588.9505,68.77006772198916,0.4980577577533611,0,0,108.98999999999796,0.0,False,False,-3279.3928368562774,-1205533.5626788293,5506.199999999808,75959.99999990454,1835.849999999482,39614.999999976135,16,0.44932896411722156
43,2024-04-14 00:43:00,64151.51,64199.01,64103.7,64190.3,29.72251,2024-04-14 00:43:00,0.06045063312607457,-1.558809517648422e-05,91.69512290488305,90.2270880488718,90.2270880488718,90.37952666360759,64138.609200680665,True,False,Sell,64013.009999999995,63682.851,73.57976334974049,0.4663659580420955,0,0,0.0,194.52000000000407,False,False,8363.74702043322,-725809.1143993806,6845.999999999185,39499.99999989814,3262.249999999767,1644.9999999895226,16,0.44932896411722156
87,2024-04-14 01:27:00,63817.52,63906.49,63763.32,63874.95,70.54702,2024-04-14 01:27:00,0.09000664551155335,1.5669680617061542e-05,93.55642722889574,91.39973816657029,91.39973816657029,87.14278238877466,63839.66685278924,True,False,Sell,63773.476,63587.279,76.3746821135908,0.7242290226326272,0,0,0.0,92.52999999999884,False,False,5708.933141706802,5673.936859529931,1741.6000000004715,-203240.00000000524,1165.750000000844,-11689.999999798601,16,0.44932896411722156
141,2024-04-14 02:21:00,63448.44,63472.6,63417.18,63449.01,22.91275,2024-04-14 02:21:00,0.000898367241175535,0.0,16.133274879438776,12.784889190890206,12.784889190890206,9.227971315168887,63446.69898688762,True,False,Sell,63451.880000000005,63662.647,15.648515528800928,0.5927041390906674,0,0,0.0,-97.44999999999709,False,False,373.92977642884944,-51280.31503089005,-1856.5999999991618,135680.00000013853,-1641.8000000005122,-24630.00000003376,16,0.44932896411722156
156,2024-04-14 02:36:00,63383.04,63383.04,63160.12,63202.81,90.49038,2024-04-14 02:36:00,-0.28433478172312787,1.5777093651151214e-05,10.532418829565549,21.0680678076128,21.0680678076128,19.44512239503535,63266.961707243994,False,False,Hold,63326.214,63412.25249999999,37.68510452961643,0.6372884104180924,0,0,24.770000000004075,12.739999999997963,False,False,-10379.964275711973,-1236507.3545138875,-2859.7999999998137,-226060.00000007043,-1695.1500000017404,-56475.00000013679,16,0.44932896411722156
158,2024-04-14 02:38:00,63164.18,63240.85,63161.72,63182.03,70.0904,2024-04-14 02:38:00,0.028259687690068702,0.0,5.405605447546687,5.646567321292558,5.646567321292558,13.632851392396397,63190.20755569159,True,False,Sell,63258.064,63382.443999999996,33.15032788476172,0.630920687018485,0,0,0.0,-38.62999999999738,False,False,-1323.1563053879654,502910.2544464695,-2692.7999999992608,142940.0000001624,-1072.3000000005413,83624.99999981083,16,0.44932896411722156
206,2024-04-14 03:26:00,62549.48,62727.27,62536.3,62724.91,58.25619,2024-04-14 03:26:00,0.2804659607082316,0.0,91.73911693473283,76.94632470140132,76.94632470140132,74.85389195940002,62667.933252760085,True,False,Sell,62630.240000000005,62491.638,73.82014154690613,0.8329730896130507,0,0,0.0,-65.0,False,False,9219.031360259396,1346846.4180387673,2748.6000000004424,597280.0000000279,498.9999999997963,76410.00000010536,16,0.44932896411722156
223,2024-04-14 03:43:00,63434.29,63455.81,63377.0,63418.42,36.36174,2024-04-14 03:43:00,-0.025002254301620397,1.5764346977749677e-05,94.26352113784853,96.42271678272736,96.42271678272736,96.2947953686914,63418.38983995219,False,False,Hold,63388.454000000005,63015.316999999995,82.71807256627018,0.7536864938011621,0,0,132.0,95.08000000000175,False,False,4.879998245451134,-257409.79091824556,3505.8000000011816,97060.00000012864,4013.6999999987893,7549.999999755528,16,0.44932896411722156
281,2024-04-14 04:41:00,63928.67,63991.57,63860.98,63990.1,36.59257,2024-04-14 04:41:00,0.09610712941581223,1.5642436420161647e-05,48.93432430087588,34.80943995243614,34.80943995243614,34.77064297127449,63967.61380586477,True,False,Sell,63957.878000000004,63983.7215,43.35682435850671,0.4666852174057242,0,0,0.0,-28.31999999999971,False,False,3638.34263884346,405423.87745132146,-1337.9999999990105,-50819.99999980326,468.24999999953434,72964.99999982188,16,0.44932896411722156
310,2024-04-14 05:10:00,64231.37,64297.0,64178.74,64190.94,66.63212,2024-04-14 05:10:00,-0.06294432144293705,0.0,71.79255319148999,82.46933881049424,82.46933881049424,85.54096121759589,64194.667397402976,False,True,Buy,64181.39199999999,64050.482500000006,65.00341488891593,0.4775824506025145,0,0,78.12000000000262,0.0,False,False,-603.105568758474,-556586.610746017,2191.199999998935,-92980.00000017055,1038.9499999997497,-8910.000000105356,16,0.44932896411722156
396,2024-04-14 06:36:00,64707.4,64762.34,64700.0,64729.84,95.58122,2024-04-14 06:36:00,0.03466372707545684,-1.545418059853928e-05,93.55925485533093,89.13057654151608,89.13057654151608,80.34718807932308,64699.56886485356,False,False,Hold,64614.698,64472.791000000005,76.51624934002827,0.44351153910350755,0,0,51.30000000000291,155.5,False,False,4897.972554497392,-429583.58323761786,3227.599999999802,224879.99999997555,2936.7500000007567,45745.00000016997,16,0.44932896411722156
424,2024-04-14 07:04:00,64614.64,64663.18,64596.99,64656.99,42.70518,2024-04-14 07:04:00,0.06552693545502919,-1.5476366430890316e-05,46.05930005187618,24.966084439227462,24.966084439227462,30.41470544483326,64642.61011493589,False,False,Hold,64656.242000000006,64703.367999999995,42.59399278959403,0.5091291253081738,0,0,-92.84999999999854,-111.69000000000233,False,False,2326.7142788055935,308605.3123149759,140.59999999954016,6959.9999998899875,-884.6500000006927,-43269.99999997497,16,0.44932896411722156
449,2024-04-14 07:29:00,64559.14,64586.4,64537.0,64580.01,15.19659,2024-04-14 07:29:00,0.03232694859318652,0.0,23.391634465460914,13.237791195709718,13.237791195709718,9.448603017459202,64576.75252044656,False,False,Hold,64598.588,64692.866,38.50321651307063,0.4298479103280798,0,0,-62.66000000000349,-8.87000000000262,False,False,527.0712635130621,252401.7715663649,-835.8000000007451,89979.9999998504,-887.8000000004249,10439.99999994412,16,0.44932896411722156
456,2024-04-14 07:36:00,64665.07,64726.28,64665.07,64687.85,18.80297,2024-04-14 07:36:00,0.0352276739203905,0.0,82.14882943143789,61.962036048399135,61.962036048399135,49.83946770290111,64670.78004501229,False,False,Hold,64644.08400000001,64657.05649999999,50.51349033840524,0.5134111395553437,0,0,79.44999999999709,47.88999999999942,False,False,2761.9767356547527,-78309.08080533845,2044.8000000011234,81840.00000008382,-17.700000000331784,25934.999999954016,16,0.44932896411722156
458,2024-04-14 07:38:00,64701.63,64707.9,64670.0,64707.84,18.50525,2024-04-14 07:38:00,0.00959790348402656,0.0,86.53068401617449,84.16009571400026,84.16009571400026,74.46636610168945,64700.96704329614,False,False,Hold,64672.384,64650.113,59.340802501302115,0.42623871676443426,0,0,116.00999999999476,84.44999999999709,False,False,1112.067755004682,-79456.43183760694,1813.1999999997788,79640.00000007218,-490.8999999999651,-28745.00000005355,16,0.44932896411722156
465,2024-04-14 07:45:00,64578.07,64597.0,64550.0,64571.17,45.23018,2024-04-14 07:45:00,-0.010700225215742876,-1.54851305613875e-05,11.23196095076289,22.714516435967283,22.714516435967283,28.777580904059942,64580.55528703234,False,False,Hold,64599.578,64626.93550000001,48.618657687303696,0.5019913323261717,0,0,9.639999999999418,-65.76000000000204,False,False,-1518.5713412502082,133903.8558257016,-2278.399999999965,57080.000000059954,-529.1499999992084,-31054.999999905704,16,0.44932896411722156
499,2024-04-14 08:19:00,64543.62,64591.98,64518.68,64549.98,43.87199,2024-04-14 08:19:00,0.009853801196779699,0.0,39.15861284821153,59.14430170575232,59.14430170575232,75.92370302169438,64559.76177910615,True,False,Sell,64597.054000000004,64535.268,59.180354095563374,0.5224652449573425,0,0,0.0,-77.75999999999476,False,False,-1582.7251064183656,358997.2633878642,-1023.5999999997148,24400.000000023283,428.3999999999651,6315.000000104192,16,0.44932896411722156
511,2024-04-14 08:31:00,64769.11,64769.12,64727.27,64748.53,38.50349,2024-04-14 08:31:00,-0.03177440604016368,0.0,62.2376864964393,76.4130138487251,76.4130138487251,83.58950705852011,64763.37194938787,False,False,Hold,64781.238,64650.2235,61.30937555595103,0.639041618829302,0,0,-14.389999999999418,172.25,False,False,-2401.477856888232,55575.88468276663,-144.8000000003958,-176740.00000006345,808.8499999990745,-26920.000000172877,16,0.44932896411722156
