2024-06-23 21:44:01 - Order events [contract=BTCUSDT, order_id=4045035726, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:02 - Order events [contract=BTCUSDT, order_id=4045035744, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:11 - Order events [contract=BTCUSDT, order_id=4045035751, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:13 - Order events [contract=BTCUSDT, order_id=4045035755, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:15 - Order events [contract=BTCUSDT, order_id=4045035756, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:28 - Order events [contract=BTCUSDT, order_id=4045035766, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.01, canceled_reason=None]
2024-06-23 21:44:32 - Order events [contract=BTCUSDT, order_id=4045035768, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:37 - Order events [contract=BTCUSDT, order_id=4045035792, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:39 - Order events [contract=BTCUSDT, order_id=4045035797, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:41 - Order events [contract=BTCUSDT, order_id=4045035805, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:43 - Order events [contract=BTCUSDT, order_id=4045035813, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65680.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:46 - Order events [contract=BTCUSDT, order_id=4045035827, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65680.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:49 - Order events [contract=BTCUSDT, order_id=4045035828, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:51 - Order events [contract=BTCUSDT, order_id=4045035842, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:52 - Order events [contract=BTCUSDT, order_id=4045035845, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:44:54 - Order events [contract=BTCUSDT, order_id=4045035848, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.018, canceled_reason=None]
2024-06-23 21:44:55 - Order events [contract=BTCUSDT, order_id=4045035850, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
